name	type	units	sampling_frequency
E1	EEG	uV	500
E2	EEG	uV	500
E3	EEG	uV	500
E4	EEG	uV	500
E5	EEG	uV	500
E6	EEG	uV	500
E7	EEG	uV	500
E8	EEG	uV	500
E9	EEG	uV	500
E10	EEG	uV	500
E11	EEG	uV	500
E12	EEG	uV	500
E13	EEG	uV	500
E14	EEG	uV	500
E15	EEG	uV	500
E16	EEG	uV	500
E17	EEG	uV	500
E18	EEG	uV	500
E19	EEG	uV	500
E20	EEG	uV	500
E21	EEG	uV	500
E22	EEG	uV	500
E23	EEG	uV	500
E24	EEG	uV	500
E25	EEG	uV	500
E26	EEG	uV	500
E27	EEG	uV	500
E28	EEG	uV	500
E29	EEG	uV	500
E30	EEG	uV	500
E31	EEG	uV	500
E32	EEG	uV	500
E33	EEG	uV	500
E34	EEG	uV	500
E35	EEG	uV	500
E36	EEG	uV	500
E37	EEG	uV	500
E38	EEG	uV	500
E39	EEG	uV	500
E40	EEG	uV	500
E41	EEG	uV	500
E42	EEG	uV	500
E43	EEG	uV	500
E44	EEG	uV	500
E45	EEG	uV	500
E46	EEG	uV	500
E47	EEG	uV	500
E48	EEG	uV	500
E49	EEG	uV	500
E50	EEG	uV	500
E51	EEG	uV	500
E52	EEG	uV	500
E53	EEG	uV	500
E54	EEG	uV	500
E55	EEG	uV	500
E56	EEG	uV	500
E57	EEG	uV	500
E58	EEG	uV	500
E59	EEG	uV	500
E60	EEG	uV	500
E61	EEG	uV	500
E62	EEG	uV	500
E63	EEG	uV	500
E64	EEG	uV	500
E65	EEG	uV	500
E66	EEG	uV	500
E67	EEG	uV	500
E68	EEG	uV	500
E69	EEG	uV	500
E70	EEG	uV	500
E71	EEG	uV	500
E72	EEG	uV	500
E73	EEG	uV	500
E74	EEG	uV	500
E75	EEG	uV	500
E76	EEG	uV	500
E77	EEG	uV	500
E78	EEG	uV	500
E79	EEG	uV	500
E80	EEG	uV	500
E81	EEG	uV	500
E82	EEG	uV	500
E83	EEG	uV	500
E84	EEG	uV	500
E85	EEG	uV	500
E86	EEG	uV	500
E87	EEG	uV	500
E88	EEG	uV	500
E89	EEG	uV	500
E90	EEG	uV	500
E91	EEG	uV	500
E92	EEG	uV	500
E93	EEG	uV	500
E94	EEG	uV	500
E95	EEG	uV	500
E96	EEG	uV	500
E97	EEG	uV	500
E98	EEG	uV	500
E99	EEG	uV	500
E100	EEG	uV	500
E101	EEG	uV	500
E102	EEG	uV	500
E103	EEG	uV	500
E104	EEG	uV	500
E105	EEG	uV	500
E106	EEG	uV	500
E107	EEG	uV	500
E108	EEG	uV	500
E109	EEG	uV	500
E110	EEG	uV	500
E111	EEG	uV	500
E112	EEG	uV	500
E113	EEG	uV	500
E114	EEG	uV	500
E115	EEG	uV	500
E116	EEG	uV	500
E117	EEG	uV	500
E118	EEG	uV	500
E119	EEG	uV	500
E120	EEG	uV	500
E121	EEG	uV	500
E122	EEG	uV	500
E123	EEG	uV	500
E124	EEG	uV	500
E125	EEG	uV	500
E126	EEG	uV	500
E127	EEG	uV	500
E128	EEG	uV	500
E129	EEG	uV	500
E130	EEG	uV	500
E131	EEG	uV	500
E132	EEG	uV	500
E133	EEG	uV	500
E134	EEG	uV	500
E135	EEG	uV	500
E136	EEG	uV	500
E137	EEG	uV	500
E138	EEG	uV	500
E139	EEG	uV	500
E140	EEG	uV	500
E141	EEG	uV	500
E142	EEG	uV	500
E143	EEG	uV	500
E144	EEG	uV	500
E145	EEG	uV	500
E146	EEG	uV	500
E147	EEG	uV	500
E148	EEG	uV	500
E149	EEG	uV	500
E150	EEG	uV	500
E151	EEG	uV	500
E152	EEG	uV	500
E153	EEG	uV	500
E154	EEG	uV	500
E155	EEG	uV	500
E156	EEG	uV	500
E157	EEG	uV	500
E158	EEG	uV	500
E159	EEG	uV	500
E160	EEG	uV	500
E161	EEG	uV	500
E162	EEG	uV	500
E163	EEG	uV	500
E164	EEG	uV	500
E165	EEG	uV	500
E166	EEG	uV	500
E167	EEG	uV	500
E168	EEG	uV	500
E169	EEG	uV	500
E170	EEG	uV	500
E171	EEG	uV	500
E172	EEG	uV	500
E173	EEG	uV	500
E174	EEG	uV	500
E175	EEG	uV	500
E176	EEG	uV	500
E177	EEG	uV	500
E178	EEG	uV	500
E179	EEG	uV	500
E180	EEG	uV	500
E181	EEG	uV	500
E182	EEG	uV	500
E183	EEG	uV	500
E184	EEG	uV	500
E185	EEG	uV	500
E186	EEG	uV	500
E187	EEG	uV	500
E188	EEG	uV	500
E189	EEG	uV	500
E190	EEG	uV	500
E191	EEG	uV	500
E192	EEG	uV	500
E193	EEG	uV	500
E194	EEG	uV	500
E195	EEG	uV	500
E196	EEG	uV	500
E197	EEG	uV	500
E198	EEG	uV	500
E199	EEG	uV	500
E200	EEG	uV	500
E201	EEG	uV	500
