name	type	units	sampling_frequency
E202	EEG	uV	500
E203	EEG	uV	500
E204	EEG	uV	500
E205	EEG	uV	500
E206	EEG	uV	500
E207	EEG	uV	500
E208	EEG	uV	500
E209	EEG	uV	500
E210	EEG	uV	500
E211	EEG	uV	500
E212	EEG	uV	500
E213	EEG	uV	500
E214	EEG	uV	500
E215	EEG	uV	500
E216	EEG	uV	500
E217	EEG	uV	500
E218	EEG	uV	500
E219	EEG	uV	500
E220	EEG	uV	500
E221	EEG	uV	500
E222	EEG	uV	500
E223	EEG	uV	500
E224	EEG	uV	500
E225	EEG	uV	500
E226	EEG	uV	500
E227	EEG	uV	500
E228	EEG	uV	500
E229	EEG	uV	500
E230	EEG	uV	500
E231	EEG	uV	500
E232	EEG	uV	500
E233	EEG	uV	500
E234	EEG	uV	500
E235	EEG	uV	500
E236	EEG	uV	500
E237	EEG	uV	500
E238	EEG	uV	500
E239	EEG	uV	500
E240	EEG	uV	500
E241	EEG	uV	500
E242	EEG	uV	500
E243	EEG	uV	500
E244	EEG	uV	500
E245	EEG	uV	500
E246	EEG	uV	500
E247	EEG	uV	500
E248	EEG	uV	500
E249	EEG	uV	500
E250	EEG	uV	500
E251	EEG	uV	500
E252	EEG	uV	500
E253	EEG	uV	500
E254	EEG	uV	500
E255	EEG	uV	500
E256	EEG	uV	500
