name	x	y	z
E1	5.382420	-6.962230	-2.190610
E2	6.404240	-6.484140	-0.140040
E3	7.207960	-5.699450	1.790880
E4	7.773210	-4.810930	3.650060
E5	7.477820	-3.619620	5.509470
E6	6.461570	-2.252780	6.963170
E7	5.217550	-1.188790	8.133780
E8	3.596080	-0.000000	8.751110
E9	1.513690	1.153390	9.199040
E10	7.383370	-5.940220	-1.515130
E11	8.372640	-5.076240	0.405950
E12	9.036110	-3.879460	2.515590
E13	8.978680	-2.607560	4.391070
E14	8.115740	-1.233440	6.061610
E15	6.811810	-0.000000	7.281860
E16	5.217550	1.188790	8.133780
E17	2.913720	2.295590	8.558100
E18	9.405590	-4.064890	-0.890980
E19	10.014560	-2.867840	0.852120
E20	10.063220	-1.421530	2.848030
E21	9.403390	-0.000000	4.658290
E22	8.115740	1.233440	6.061610
E23	6.461570	2.252780	6.963170
E24	4.408910	3.344670	7.672530
E25	10.652810	-1.395470	-0.611380
E26	10.689960	-0.000000	1.005420
E27	10.063220	1.421530	2.848030
E28	8.978680	2.607560	4.391070
E29	7.477820	3.619620	5.509470
E30	5.593950	4.498280	6.288010
E31	10.563810	-0.000000	-2.051080
E32	10.652810	1.395470	-0.611380
E33	10.014560	2.867840	0.852120
E34	9.036110	3.879460	2.515590
E35	7.773210	4.810930	3.650060
E36	6.415860	5.104660	4.778150
E37	9.405590	4.064890	-0.890980
E38	8.372640	5.076240	0.405950
E39	7.207960	5.699450	1.790880
E40	6.112920	6.169840	3.296120
E41	4.939080	6.014470	4.857710
E42	3.802200	5.339430	6.326640
E43	2.572240	4.641270	7.508680
E44	1.071330	3.537460	8.474190
E45	-0.609980	1.994580	9.288700
E46	7.383370	5.940220	-1.515130
E47	6.404240	6.484140	-0.140040
E48	5.351310	6.975450	1.307410
E49	4.233420	7.100640	2.918740
E50	3.162400	6.865640	4.768000
E51	1.942130	6.113800	6.238440
E52	0.600810	5.313890	7.488110
E53	-1.145730	3.723680	8.586970
E54	5.382420	6.962230	-2.190610
E55	4.371550	7.316130	-0.611280
E56	3.296190	7.663850	1.044150
E57	2.302050	7.624230	2.817990
E58	1.343680	7.365700	4.603820
E59	0.060040	6.702920	6.239920
E60	-1.612470	5.403720	7.473430
E61	3.053230	7.540980	-2.519350
E62	2.063230	7.770590	-0.807290
E63	1.207440	7.969210	0.973320
E64	0.401090	8.066210	2.785650
E65	-0.568400	7.607670	4.599390
E66	-1.945220	6.815540	5.930530
E67	1.740410	7.693150	-4.181530
E68	1.052910	7.744680	-2.470590
E69	0.072200	7.937580	-0.969920
E70	-0.752120	7.988930	0.841940
E71	-1.502960	8.059470	2.767530
E72	-2.311410	7.564450	4.303270
E73	0.730960	7.526460	-5.960250
E74	-1.841310	7.767520	-0.927190
E75	-2.731750	7.792790	1.100330
E76	-3.493080	7.461910	2.959370
E77	-3.794480	6.869340	4.894010
E78	-3.846040	5.652760	6.521080
E79	-3.548000	4.124650	7.954050
E80	-2.958090	2.236470	8.924610
E81	-1.938340	-0.000000	9.458670
E82	-0.491860	7.128060	-7.349290
E83	-3.497090	7.379200	-2.183470
E84	-3.700440	7.521830	-0.514320
E85	-4.711320	7.152140	1.517620
E86	-5.158290	6.488170	3.472940
E87	-5.461840	5.530510	5.501890
E88	-5.238070	4.038090	7.044550
E89	-4.878290	2.295140	8.272230
E90	-3.741950	-0.000000	9.027910
E91	-1.864260	6.825850	-8.693990
E92	-2.848400	6.740470	-6.747120
E93	-4.017840	6.783790	-5.017550
E94	-4.450900	7.033460	-3.548950
E95	-5.016940	6.990520	-1.888100
E96	-5.736080	6.675710	0.102340
E97	-6.528640	5.968510	2.032930
E98	-6.749360	5.108220	3.921340
E99	-6.677340	3.752160	5.637190
E100	-6.291900	2.148740	7.114530
E101	-7.150420	-0.000000	6.954340
E102	-3.824700	6.369890	-8.206220
E103	-4.622500	6.243490	-6.496230
E104	-5.610900	6.097260	-4.678940
E105	-6.012990	6.314410	-3.259210
E106	-6.747330	5.984180	-1.403140
E107	-7.573980	5.237090	0.466270
E108	-8.113230	4.290980	2.384420
E109	-8.152930	3.242770	4.220250
E110	-7.638500	1.731810	5.693600
E111	-5.803670	5.635800	-7.748570
E112	-6.451800	5.387180	-6.166890
E113	-7.326430	5.082850	-4.321090
E114	-7.465840	5.272820	-2.874850
E115	-8.612300	4.136200	-1.045030
E116	-9.136290	3.133230	0.818780
E117	-9.234150	1.945030	2.621350
E118	-8.741100	1.093120	4.138100
E119	-8.091460	-0.000000	5.340870
E120	-7.219700	4.706080	-7.529550
E121	-7.811530	4.204150	-5.843680
E122	-8.593380	3.622340	-4.042430
E123	-9.453630	3.027170	-1.959410
E124	-9.709160	2.201520	-0.637550
E125	-9.716560	1.016820	0.954670
E126	-9.232060	-0.000000	2.546710
E127	-8.741100	-1.093120	4.138100
E128	-7.638500	-1.731810	5.693600
E129	-6.291900	-2.148740	7.114530
E130	-4.878290	-2.295140	8.272230
E131	-2.958090	-2.236470	8.924610
E132	-0.609980	-1.994580	9.288700
E133	-8.573170	3.456250	-6.826540
